Los Angeles,Bishop Amat Memorial High,91746
Los Angeles,Bishop Alemany High,91345
Los Angeles,Oaks Christian School,91362
Los Angeles,Chaminade College Preparatory,91304
Los Angeles,Loyola High School of Los Angeles,90006
Los Angeles,Viewpoint School,91302
Los Angeles,Notre Dame High School,91423
Los Angeles,Crossroads School for Arts and Sciences,90404
Los Angeles,Campbell Hall (Episcopal),91607
Los Angeles,Village Christian Schools,91352
Los Angeles,Faith Baptist,91304
Los Angeles,Brentwood School,90049
Los Angeles,Sierra Canyon School,91311
Los Angeles,Yeshiva Rav Isacsohn / Torath Em,90036
Los Angeles,Bishop Montgomery High,90503
Ventura,La Reina High School,91360
Ventura,Saint Bonaventure High School,93003
Ventura,Mother of Divine Grace,93023
Ventura,Grace Brethren Junior Senior High School,93065
Ventura,Ventura Missionary Christian,93003
Ventura,Grace Brethren Elementary,93065
Ventura,Trinity Pacific Christian School,91360
Ventura,International Virtual Learning Academy,93065
Ventura,St. Paschal Baylon Elementary,91360
Ventura,Ojai Valley School,93023
Ventura,St. Rose of Lima Elementary,93065
Ventura,Santa Clara High School,93033
Ventura,Phoenix Ranch School,93063
Ventura,St. Mary Magdalen,93010
Ventura,Our Lady of the Assumption,93003
Orange,JSerra Catholic High School,92675
Orange,St. Margaret's Episcopal School,92675
Orange,Calvary Chapel High-Maranatha Christian,92704
Orange,Lutheran High School of Orange County,92867
Orange,Serra Catholic Elementary,92688
Orange,Servite High School,92801
Orange,Crean Lutheran High School,92618
Orange,St. John's Lutheran School,92866
Orange,St. Edward the Confessor Parish School,92629
Orange,Friends Christian School,92886
Orange,Mariners Christian,92626
Orange,Saddleback Valley Christian,92675
Orange,St. Anne School,92677
Orange,C4L Academy,92618
Orange,Fairmont Preparatory Academy,92801
