zip,NCICCode,Year,County,allSum
90001,Los Angeles,2016,Los Angeles County,534515
90002,Los Angeles,2016,Los Angeles County,534515
90003,Los Angeles,2016,Los Angeles County,534515
90004,Los Angeles,2016,Los Angeles County,534515
90005,Los Angeles,2016,Los Angeles County,534515
90006,Los Angeles,2016,Los Angeles County,534515
90007,Los Angeles,2016,Los Angeles County,534515
90008,Los Angeles,2016,Los Angeles County,534515
90009,Los Angeles,2016,Los Angeles County,534515
90010,Los Angeles,2016,Los Angeles County,534515
90011,Los Angeles,2016,Los Angeles County,534515
90012,Los Angeles,2016,Los Angeles County,534515
90013,Los Angeles,2016,Los Angeles County,534515
90014,Los Angeles,2016,Los Angeles County,534515
90015,Los Angeles,2016,Los Angeles County,534515
90016,Los Angeles,2016,Los Angeles County,534515
90017,Los Angeles,2016,Los Angeles County,534515
90018,Los Angeles,2016,Los Angeles County,534515
90019,Los Angeles,2016,Los Angeles County,534515
90020,Los Angeles,2016,Los Angeles County,534515
90021,Los Angeles,2016,Los Angeles County,534515
90022,Los Angeles,2016,Los Angeles County,534515
90023,Los Angeles,2016,Los Angeles County,534515
90024,Los Angeles,2016,Los Angeles County,534515
90025,Los Angeles,2016,Los Angeles County,534515
90026,Los Angeles,2016,Los Angeles County,534515
90027,Los Angeles,2016,Los Angeles County,534515
90028,Los Angeles,2016,Los Angeles County,534515
90029,Los Angeles,2016,Los Angeles County,534515
90030,Los Angeles,2016,Los Angeles County,534515
90031,Los Angeles,2016,Los Angeles County,534515
90032,Los Angeles,2016,Los Angeles County,534515
90033,Los Angeles,2016,Los Angeles County,534515
90034,Los Angeles,2016,Los Angeles County,534515
90035,Los Angeles,2016,Los Angeles County,534515
90036,Los Angeles,2016,Los Angeles County,534515
90037,Los Angeles,2016,Los Angeles County,534515
90038,Los Angeles,2016,Los Angeles County,534515
90039,Los Angeles,2016,Los Angeles County,534515
90040,Los Angeles,2016,Los Angeles County,534515
90041,Los Angeles,2016,Los Angeles County,534515
90042,Los Angeles,2016,Los Angeles County,534515
90043,Los Angeles,2016,Los Angeles County,534515
90044,Los Angeles,2016,Los Angeles County,534515
90045,Los Angeles,2016,Los Angeles County,534515
90046,Los Angeles,2016,Los Angeles County,534515
90047,Los Angeles,2016,Los Angeles County,534515
90048,Los Angeles,2016,Los Angeles County,534515
90049,Los Angeles,2016,Los Angeles County,534515
90050,Los Angeles,2016,Los Angeles County,534515
90051,Los Angeles,2016,Los Angeles County,534515
90052,Los Angeles,2016,Los Angeles County,534515
90053,Los Angeles,2016,Los Angeles County,534515
90054,Los Angeles,2016,Los Angeles County,534515
90055,Los Angeles,2016,Los Angeles County,534515
90056,Los Angeles,2016,Los Angeles County,534515
90057,Los Angeles,2016,Los Angeles County,534515
90058,Los Angeles,2016,Los Angeles County,534515
90059,Los Angeles,2016,Los Angeles County,534515
90060,Los Angeles,2016,Los Angeles County,534515
90061,Los Angeles,2016,Los Angeles County,534515
90062,Los Angeles,2016,Los Angeles County,534515
90063,Los Angeles,2016,Los Angeles County,534515
90064,Los Angeles,2016,Los Angeles County,534515
90065,Los Angeles,2016,Los Angeles County,534515
90066,Los Angeles,2016,Los Angeles County,534515
90067,Los Angeles,2016,Los Angeles County,534515
90068,Los Angeles,2016,Los Angeles County,534515
90070,Los Angeles,2016,Los Angeles County,534515
90071,Los Angeles,2016,Los Angeles County,534515
90072,Los Angeles,2016,Los Angeles County,534515
90073,Los Angeles,2016,Los Angeles County,534515
90074,Los Angeles,2016,Los Angeles County,534515
90075,Los Angeles,2016,Los Angeles County,534515
90076,Los Angeles,2016,Los Angeles County,534515
90077,Los Angeles,2016,Los Angeles County,534515
90078,Los Angeles,2016,Los Angeles County,534515
90079,Los Angeles,2016,Los Angeles County,534515
90080,Los Angeles,2016,Los Angeles County,534515
90081,Los Angeles,2016,Los Angeles County,534515
90082,Los Angeles,2016,Los Angeles County,534515
90083,Los Angeles,2016,Los Angeles County,534515
90084,Los Angeles,2016,Los Angeles County,534515
90086,Los Angeles,2016,Los Angeles County,534515
90087,Los Angeles,2016,Los Angeles County,534515
90088,Los Angeles,2016,Los Angeles County,534515
90089,Los Angeles,2016,Los Angeles County,534515
90091,Los Angeles,2016,Los Angeles County,534515
90093,Los Angeles,2016,Los Angeles County,534515
90095,Los Angeles,2016,Los Angeles County,534515
90096,Los Angeles,2016,Los Angeles County,534515
90099,Los Angeles,2016,Los Angeles County,534515
90101,Los Angeles,2016,Los Angeles County,534515
90102,Los Angeles,2016,Los Angeles County,534515
90103,Los Angeles,2016,Los Angeles County,534515
90189,Los Angeles,2016,Los Angeles County,534515
90069,West Hollywood,2016,Los Angeles County,8528
90201,Bell Gardens,2016,Los Angeles County,4371
90202,Bell,2016,Los Angeles County,4663
90209,Beverly Hills,2016,Los Angeles County,6609
90210,Beverly Hills,2016,Los Angeles County,6609
90211,Beverly Hills,2016,Los Angeles County,6609
90212,Beverly Hills,2016,Los Angeles County,6609
90213,Beverly Hills,2016,Los Angeles County,6609
90220,Compton,2016,Los Angeles County,14841
90221,Compton,2016,Los Angeles County,14841
90222,Compton,2016,Los Angeles County,14841
90223,Compton,2016,Los Angeles County,14841
90224,Compton,2016,Los Angeles County,14841
90230,Culver City,2016,Los Angeles County,11709
90231,Culver City,2016,Los Angeles County,11709
90232,Culver City,2016,Los Angeles County,11709
90233,Culver City,2016,Los Angeles County,11709
90239,Downey,2016,Los Angeles County,15639
90240,Downey,2016,Los Angeles County,15639
90241,Downey,2016,Los Angeles County,15639
90242,Downey,2016,Los Angeles County,15639
90245,El Segundo,2016,Los Angeles County,3382
90247,Gardena,2016,Los Angeles County,7680
90248,Gardena,2016,Los Angeles County,7680
90249,Gardena,2016,Los Angeles County,7680
90250,Hawthorne,2016,Los Angeles County,13417
90251,Hawthorne,2016,Los Angeles County,13417
90254,Hermosa Beach,2016,Los Angeles County,2441
90255,Huntington Park,2016,Los Angeles County,9726
90260,Lawndale,2016,Los Angeles County,2953
