,basementsqft,bathroomcnt,bedroomcnt,calculatedbathnbr,calculatedfinishedsquarefeet,finishedfloor1squarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,landtaxvaluedollarcnt,lotsizesquarefeet,numberofstories,poolsizesum,roomcnt,structuretaxvaluedollarcnt,taxamount,taxvaluedollarcnt,threequarterbathnbr,unitcnt,yardbuildingsqft17,yardbuildingsqft26,logerror
basementsqft,1.0,0.3922060919428941,0.5543012145402166,0.3943467146238888,0.3416095068157013,0.1301404827132784,0.3416095068157013,,,-0.03127386948404453,,0.14922063425850124,0.3189472242824001,0.22571280009032535,0.2775000494725041,0.12386352752424473,-0.14489994536536893,0.43753592494549415,-0.19116708402874158,0.46626748485367775,0.5490544112065732,0.4061300711670656,0.3725805066071691,,,0.017574390719374323,-0.32920041247274145,0.2533946759233012
bathroomcnt,0.3922060919428941,1.0,0.6461198390938011,1.0,0.772552604559414,0.47726432055737167,0.7993720116958752,0.2128465047191556,0.633630672240862,0.46938231642337175,-0.14021958590347577,0.4480156379768511,0.9841304260999284,0.5024291660542679,0.4510618158752665,0.3538063899578007,-0.00019683515733050796,0.3208335843944127,0.24353442418656612,0.044460591094009023,0.586640601322016,0.4618995371061879,0.47636283754756475,0.26026295970088875,0.11903778850114768,0.2537542082787346,0.2348986501001572,0.027889286550778988
bedroomcnt,0.5543012145402166,0.6461198390938011,1.0,0.6180597673949499,0.6320346535088903,0.45802996052845124,0.6575988860972432,0.23063870760503768,0.6151716174137444,0.4445992512783121,-0.3196633736112294,0.23476479696929067,0.6137530347790692,0.4321153139075015,0.5914964282286687,0.17320529051201203,-0.1139837099649568,0.150590798006797,0.18090042947545146,0.16448446447132817,0.30540530183426257,0.23911793618761193,0.24132920365891494,0.111311538168346,0.18083775034715535,0.2802450210968029,0.16995993499518045,0.025467090070982492
calculatedbathnbr,0.3943467146238888,1.0,0.6180597673949499,1.0,0.8012083147849924,0.49180359268006946,0.8054751792689608,-1.0,0.7006545063095324,0.4833620175004023,0.7675587409088421,0.47261762628036336,0.9841304260999284,0.4798619829600243,0.444417652582587,0.3716337939742885,0.0048526483310897435,0.3697596741829074,0.2542960390248333,0.03148618328726012,0.6116652114897612,0.48731957198547815,0.4977628608272041,0.26026295970088875,0.1546406769932335,0.2567517750447309,0.2348986501001572,0.029447685316664213
calculatedfinishedsquarefeet,0.3416095068157013,0.772552604559414,0.6320346535088903,0.8012083147849924,1.0,0.7035250745030347,1.0,1.0,1.0,0.6897870913899405,1.0,0.5799728161123753,0.7803248776381777,0.5061659624430139,0.6043598923480619,0.45855018911911066,-0.04876982571272955,0.34696396571384985,0.3085265278712461,0.09824425113907767,0.7164885189911135,0.5890224652349161,0.6000181808482019,0.3201131444489315,0.14617760821721373,0.3396670647863292,0.2823248163194454,0.03878406892175606
finishedfloor1squarefeet,0.1301404827132784,0.47726432055737167,0.45802996052845124,0.49180359268006946,0.7035250745030347,1.0,0.7035926158939625,,0.6352062132949128,0.9801821025550524,,0.491749275398085,0.5291459968838067,0.46176540428978524,0.6037772599856642,0.44727925055072365,0.35316820297264917,-0.2864343255029958,0.36699280006197943,0.541401638150563,0.5973806222837861,0.5117081429191321,0.5556788353314484,,,0.36919511309486447,0.271345423094543,0.026241725892497073
finishedsquarefeet12,0.3416095068157013,0.7993720116958752,0.6575988860972432,0.8054751792689608,1.0,0.7035926158939625,1.0,,,0.689848800956583,,0.5784749891274188,0.7829564142409826,0.5530589627141024,0.6259377656101435,0.4804631183551145,-0.046706405105279875,0.3411284642667394,0.3085265278712461,0.12031179897776084,0.7440484063550011,0.6124957251620429,0.6260518878985151,0.31992981686453276,0.003358235201886142,0.33969086852015207,0.2846888355438433,0.041922367267909114
finishedsquarefeet13,,0.2128465047191556,0.23063870760503768,-1.0,1.0,,,1.0,,,,,,,,0.029610569680475003,0.2959683581518233,,,0.19697217860802968,-0.1257208072674601,-0.10385903785962872,-0.0725165173433959,,,,,0.0347150011220519
finishedsquarefeet15,,0.633630672240862,0.6151716174137444,0.7006545063095324,1.0,0.6352062132949128,,,1.0,0.6352062132949128,,0.9099321251100628,0.7006180806850537,0.556943790794412,,0.19481766387416374,0.12549519985677265,0.43198277170041527,,-0.0010674358681864679,0.4232379742737643,0.2912271710261414,0.2875859388297823,,0.5583643444110151,1.0,,0.019327282005529602
finishedsquarefeet50,-0.03127386948404453,0.46938231642337175,0.4445992512783121,0.4833620175004023,0.6897870913899405,0.9801821025550524,0.689848800956583,,0.6352062132949128,1.0,,0.48323512354832643,0.5191725413917705,0.45222134872943065,0.5872753859363998,0.44580083360343925,0.35177759892445337,-0.2820457432994514,0.35632035493140496,0.5291760858726653,0.5874572806921871,0.5075771004220894,0.5503605467726312,,,0.35637085061306945,0.3430287669809295,0.02361865415582669
